date,open,high,low,close,volume,dividends,stock_splits,kd_k,kd_d
2026-02-05,1759.2601318359375,1774.2113510866677,1754.276392085694,1759.2601318359375,26299986,0.0,0.0,42.16,53.84
2026-02-06,1739.3252460608321,1774.21142578125,1734.3415061007724,1774.21142578125,33263592,0.0,0.0,42.14,49.94
2026-02-09,1824.0487534704287,1829.0324932340093,1809.0975341796875,1809.0975341796875,36529289,0.0,0.0,54.41,51.43
2026-02-10,1839.0000506461936,1873.88623046875,1834.0163106715427,1873.88623046875,41859169,0.0,0.0,69.61,57.49
2026-02-11,1873.8861603500327,1918.7398184435174,1868.9024205618675,1908.7723388671875,40488310,0.0,0.0,77.94,64.3
2026-02-23,1893.8211669921875,1928.7073463841489,1893.8211669921875,1893.8211669921875,69816209,0.0,0.0,79.31,69.31
2026-02-24,1908.7723432157482,1968.5772208099752,1908.7723432157482,1958.6097412109375,40961679,0.0,0.0,84.79,74.47
2026-02-25,1988.51218431345,2018.4146231753064,1988.51218431345,2008.4471435546875,40832607,0.0,0.0,88.69,79.21
2026-02-26,1993.4959468984962,2003.4634266329888,1988.51220703125,1988.51220703125,58561388,0.0,0.0,88.95,82.45
2026-03-02,1933.691091030459,1988.5122302091575,1933.691091030459,1968.5772705078125,48884884,0.0,0.0,86.79,83.9
2026-03-03,1963.5934534984658,1973.5609329578488,1928.707275390625,1928.707275390625,43090471,0.0,0.0,76.9,81.57
2026-03-04,1888.837375180651,1903.7885945092576,1858.9349365234375,1858.9349365234375,68160943,0.0,0.0,55.77,72.97
2026-03-05,1933.6910862972861,1953.6260459498355,1888.8374270790503,1893.8211669921875,48120463,0.0,0.0,44.47,63.47
2026-03-06,1873.8861581307872,1893.821117259838,1873.8861581307872,1883.8536376953125,30082724,0.0,0.0,34.86,53.93
2026-03-09,1769.2275916673862,1804.11376953125,1764.2438519725483,1804.11376953125,76459172,0.0,0.0,28.47,45.44
2026-03-10,1863.9187242662586,1883.8536838840794,1824.0488050306167,1843.9837646484375,41375691,0.0,0.0,29.44,40.11
2026-03-11,1878.8699023059962,1943.6585196268927,1868.902422718166,1933.6910400390625,36167313,0.0,0.0,43.23,41.15
2026-03-12,1893.821092195789,1908.7723113447032,1878.869873046875,1878.869873046875,34040589,0.0,0.0,45.86,42.72
2026-03-13,1834.0162376424262,1878.8698956282465,1834.0162376424262,1858.9349365234375,31214304,0.0,0.0,45.65,43.7
2026-03-16,1868.90243902439,1873.8861788617885,1839.0,1839.0,31249086,0.0,0.0,43.59,43.66
2026-03-17,1875.0,1880.0,1860.0,1870.0,23812211,6.000036,0.0,47.68,45.0
2026-03-18,1900.0,1910.0,1890.0,1905.0,23068156,0.0,0.0,57.94,49.31
2026-03-19,1875.0,1880.0,1850.0,1850.0,31040569,0.0,0.0,54.56,51.06
2026-03-20,1860.0,1870.0,1840.0,1840.0,46312322,0.0,0.0,40.82,47.65
2026-03-23,1790.0,1815.0,1785.0,1810.0,34902948,0.0,0.0,32.46,42.58
2026-03-24,1850.0,1850.0,1800.0,1810.0,27001025,0.0,0.0,28.31,37.83
2026-03-25,1865.0,1875.0,1845.0,1845.0,40964040,0.0,0.0,34.87,36.84
2026-03-26,1850.0,1865.0,1840.0,1840.0,20958470,0.0,0.0,37.91,37.2
2026-03-27,1805.0,1825.0,1800.0,1820.0,28974140,0.0,0.0,34.61,36.34
2026-03-30,1780.0,1800.0,1780.0,1780.0,39889700,0.0,0.0,23.07,31.92
2026-03-31,1775.0,1790.0,1760.0,1760.0,49221091,0.0,0.0,15.38,26.4
2026-04-01,1840.0,1855.0,1830.0,1855.0,35537379,0.0,0.0,37.79,30.2
2026-04-02,1865.0,1865.0,1805.0,1810.0,25132417,0.0,0.0,39.69,33.36
2026-04-07,1850.0,1860.0,1835.0,1860.0,17953562,0.0,0.0,55.44,40.72
2026-04-08,1935.0,1950.0,1925.0,1950.0,46515921,0.0,0.0,70.3,50.58
2026-04-09,1945.0,1950.0,1935.0,1935.0,10168511,0.0,0.0,77.57,59.58
